Clabel,lmfdb_label,conductor,rank,analytic_rank,sha,sha_primes,torsion,torsion_structure,ainvs,optimality,manin_constant,cm,semistable,bad_primes,regulator,signD,num_bad_primes
451248f4,451248.f1,451248,2,2,4,[2],2,[2],"[0, -1, 0, -9626624, -11493119232]",0,1,0,False,"[2, 3, 7, 17, 79]",68.839851921099663149402895921,1,5
453390bu4,453390.bu1,453390,2,2,4,[2],2,[2],"[1, 1, 1, -266896, -53182411]",0,1,0,True,"[2, 3, 5, 7, 17, 127]",12.342323693098902126373556781,1,6
457470j4,457470.j1,457470,2,2,4,[2],2,[2],"[1, -1, 0, -488085, -131125609]",0,1,0,False,"[2, 3, 5, 13, 17, 23]",15.827864247522952280556173620,1,6
463080b4,463080.b1,463080,2,2,4,[2],2,[2],"[0, -1, 0, -2469760, -1493107028]",0,1,0,False,"[2, 3, 5, 17, 227]",122.61903974834877804253812126,1,5
465120g4,465120.g1,465120,2,2,4,[2],2,[2],"[0, 0, 0, -1395363, -634422998]",0,1,0,False,"[2, 3, 5, 17, 19]",53.377409373560298544688550350,1,5
472290a4,472290.a1,472290,2,2,4,[2],2,[2],"[1, 1, 0, -189903, -31930773]",0,1,0,True,"[2, 3, 5, 7, 13, 173]",9.1481345952049317494966872831,1,6
485112h4,485112.h1,485112,2,2,4,[2],2,[2],"[0, 1, 0, -2587264, -1602666208]",0,1,0,False,"[2, 3, 17, 29, 41]",140.86468178095227715540388526,1,5
485826t4,485826.t1,485826,2,2,4,[2],2,[2],"[1, 1, 1, -27842, -1694521]",0,1,0,True,"[2, 3, 11, 17, 433]",5.2151425690177457147611990506,1,5
488070bp4,488070.bp4,488070,2,2,4,[2],2,[2],"[1, -1, 0, -2688354, -6364417860]",0,1,0,False,"[2, 3, 5, 11, 17, 29]",58.944382726489105376524116164,-1,6
491970bp4,491970.bp1,491970,2,2,4,[2],2,[2],"[1, 1, 1, -11104090891, -450377916058711]",0,1,0,False,"[2, 3, 5, 23, 31]",160.51869157698896927188387463,1,5
494760co4,494760.co1,494760,2,2,4,[2],2,[2],"[0, 1, 0, -1697120, -851540592]",0,1,0,False,"[2, 3, 5, 7, 19, 31]",12.801067207110258227414187859,1,6
495482q4,495482.q1,495482,2,2,4,[2],2,[2],"[1, -1, 1, -312631, -67196325]",0,1,0,True,"[2, 13, 17, 19, 59]",6.0419597783393742220445694591,1,5
499290e4,499290.e2,499290,2,2,4,[2],2,[2],"[1, 1, 0, -11458, -452978]",0,1,0,True,"[2, 3, 5, 11, 17, 89]",2.3460969951935067304568164850,1,6
