Clabel,conductor,ainvs,rank,torsion
48734b1,48734,"[1,0,1,45,110]",3,1
48734b2,48734,"[1,0,1,-1135,14742]",3,1
48746a1,48746,"[1,0,0,-15,121]",3,1
48856a1,48856,"[0,1,0,-1465,21099]",3,1
49183a1,49183,"[1,0,0,-1611,24754]",3,1
49259a1,49259,"[1,-1,1,159,-450]",3,1
49411a1,49411,"[0,1,1,-9,12]",3,1
49626a1,49626,"[1,-1,0,-9,49]",3,1
49648d1,49648,"[0,0,0,-2011,34714]",3,1
49831a1,49831,"[1,0,0,-79,264]",3,1
50029c1,50029,"[0,1,1,-30,60]",3,1
50121a1,50121,"[0,0,1,-147,706]",3,1
50360a1,50360,"[0,0,0,-28,148]",3,1
50382f1,50382,"[1,-1,0,-51,161]",3,1
50744c1,50744,"[0,1,0,-20,64]",3,1
50862a1,50862,"[1,1,0,-172,820]",3,1
51034a1,51034,"[1,-1,0,-91,-167]",3,1
51052a1,51052,"[0,1,0,-169,792]",3,1
51065c1,51065,"[0,1,1,-56,156]",3,1
51094a1,51094,"[1,-1,0,-1169,15709]",3,1
51317a1,51317,"[1,-1,1,-9,204]",3,1
51536b1,51536,"[0,1,0,-72,196]",3,1
51822d1,51822,"[1,-1,0,-279,1849]",3,1
51962a1,51962,"[1,-1,0,-31,73]",3,1
52013a1,52013,"[1,-1,1,-33,90]",3,1
52158a1,52158,"[1,1,0,-7,25]",3,1
52277b1,52277,"[0,1,1,-15,15]",3,1
52396b1,52396,"[0,-1,0,-532,4904]",3,1
53022b1,53022,"[1,1,0,-17,-15]",3,1
53083a1,53083,"[0,1,1,-20,30]",3,1
53122a1,53122,"[1,-1,0,47,-35]",3,1
53237b1,53237,"[0,1,1,-10,-10]",3,1
53238e1,53238,"[1,1,0,-22,40]",3,1
53461b1,53461,"[0,-1,1,-16,28]",3,1
53486d1,53486,"[1,-1,0,-344,2544]",3,1
53916a1,53916,"[0,-1,0,-45,126]",3,1
53926e1,53926,"[1,0,0,-92,784]",3,1
53957b1,53957,"[0,1,1,-50,120]",3,1
